Occupation title,Proximity to others,Exposure to disease,Total in employment
Driving instructors,76.0,8.0,34000
Crane drivers,56.8,10.0,14000
Fork-lift truck drivers,50.0,10.0,93000
Agricultural machinery drivers,26.5,2.0,5000
Mobile machine drivers and operatives n.e.c.,50.4,4.2,49000
Train and tram drivers,54.7,15.3,32000
Marine and waterways transport operatives,74.0,13.5,5000
Air transport operatives,63.4,9.0,16000
Rail transport operatives,56.7,15.3,16000
Other drivers and transport operatives n.e.c.,63.4,9.0,21000
Farm workers,42.3,13.3,58000
Forestry workers,53.4,13.4,6000
Fishing and other elementary agriculture occupations n.e.c.,46.3,3.7,21000
Elementary construction occupations,67.6,13.7,158000
Industrial cleaning process occupations,57.0,2.0,29000
"Packers, bottlers, canners and fillers",70.0,5.0,131000
Elementary process plant occupations n.e.c.,57.0,2.0,95000
"Postal workers, mail sorters, messengers and couriers",64.0,20.8,160000
Elementary administration occupations n.e.c.,61.5,41.5,32000
Window cleaners,48.0,47.0,28000
Cleaners and domestics,48.3,38.3,585000
"Launderers, dry cleaners and pressers",35.0,4.0,27000
Refuse and salvage occupations,48.5,39.5,37000
Vehicle valeters and cleaners,55.0,16.0,30000
Elementary cleaning occupations n.e.c.,48.3,38.3,7000
Security guards and related occupations,77.3,33.0,190000
Parking and civil enforcement occupations,68.0,14.2,14000
School midday and crossing patrol occupations,68.0,14.2,92000
Elementary security occupations n.e.c.,68.0,14.2,23000
Shelf fillers,69.0,13.3,80000
Elementary sales occupations n.e.c.,67.0,7.0,28000
Elementary storage occupations,63.4,9.0,440000
Hospital porters,48.3,38.3,19000
Kitchen and catering assistants,71.3,17.0,505000
Waiters and waitresses,75.0,27.5,268000
Bar staff,79.0,4.0,204000
Leisure and theme park attendants,68.0,14.2,35000
Other elementary services occupations n.e.c.,64.8,27.9,26000
